area_sqft,bedrooms,bathrooms,age_years,parking,location,furnished,property_type,price
2115.0,4,2.0,40,yes,rural,yes,apartment,250300
1065.0,3,2.0,23,no,rural,no,apartment,135000
1292.0,3,3.0,30,yes,urban,yes,villa,268300
955.0,2,1.0,1,no,suburban,no,villa,259400
915.0,1,1.0,14,no,urban,no,house,214900
731.0,1,1.0,23,yes,rural,yes,apartment,119000
1732.0,3,2.0,6,yes,urban,yes,house,333000
1598.0,4,2.0,33,yes,urban,no,apartment,259900
637.0,2,1.0,16,yes,suburban,no,house,169500
1560.0,4,3.0,15,yes,suburban,no,house,262200
1789.0,3,2.0,8,no,downtown,no,apartment,307200
2395.0,4,3.0,17,yes,downtown,yes,apartment,388300
1931.0,5,3.0,11,no,downtown,yes,apartment,356400
1502.0,3,3.0,37,,downtown,yes,villa,307600
1209.0,3,2.0,6,yes,,no,house,207700
1875.0,4,3.0,29,no,suburban,yes,apartment,245400
2177.0,5,4.0,1,no,rural,yes,house,419700
1979.0,4,3.0,33,no,suburban,yes,apartment,264900
1533.0,3,3.0,34,yes,downtown,no,house,492259
1708.0,5,3.0,40,yes,suburban,yes,apartment,221800
782.0,1,1.0,19,yes,urban,yes,apartment,134100
1731.0,4,3.0,18,yes,urban,no,house,289000
2146.0,5,3.0,37,yes,urban,yes,apartment,295900
1418.0,3,1.0,2,yes,rural,yes,apartment,218900
,2,1.0,24,yes,suburban,yes,house,221400
2054.0,3,2.0,19,yes,downtown,no,villa,382300
1449.0,4,3.0,5,yes,urban,no,house,293500
2264.0,4,2.0,20,no,urban,yes,apartment,394600
1627.0,3,2.0,39,yes,suburban,no,apartment,222100
1969.0,4,3.0,40,,suburban,yes,apartment,281300
1257.0,3,2.0,29,yes,urban,yes,villa,220800
1710.0,4,3.0,12,yes,suburban,no,apartment,365100
2293.0,6,4.0,7,yes,urban,no,house,405800
787.0,2,,36,yes,suburban,no,apartment,84400
2164.0,4,3.0,29,yes,urban,yes,apartment,357200
500.0,1,1.0,36,yes,urban,no,apartment,62000
1385.0,3,2.0,4,yes,urban,yes,apartment,275000
1766.0,3,2.0,6,yes,suburban,yes,villa,343400
1157.0,2,1.0,1,yes,urban,yes,apartment,192700
1595.0,3,1.0,1,yes,urban,no,villa,339500
2082.0,3,2.0,18,no,suburban,no,house,309000
1595.0,3,2.0,15,yes,rural,no,apartment,228100
500.0,1,1.0,18,no,suburban,no,apartment,127500
1852.0,4,3.0,13,no,urban,no,house,294800
1965.0,3,2.0,31,no,urban,yes,house,260300
1509.0,3,2.0,22,,rural,yes,apartment,211200
1439.0,4,3.0,3,yes,suburban,no,apartment,269900
1473.0,2,1.0,9,yes,downtown,no,apartment,233200
636.0,1,1.0,28,yes,suburban,no,villa,108000
1254.0,2,2.0,37,no,suburban,no,house,162300
2300.0,4,3.0,14,yes,downtown,no,apartment,313200
1981.0,3,3.0,26,yes,suburban,no,apartment,284700
1798.0,3,2.0,4,yes,downtown,yes,house,330100
1232.0,3,2.0,12,no,suburban,no,house,245300
1284.0,1,1.0,16,no,urban,no,house,234400
1751.0,3,2.0,30,yes,rural,no,apartment,206700
1504.0,3,2.0,18,yes,suburban,yes,house,251300
1468.0,2,1.0,37,no,suburban,no,house,180200
1181.0,3,2.0,0,yes,suburban,yes,apartment,285300
1700.0,4,3.0,8,yes,suburban,no,house,330800
1094.0,1,1.0,17,yes,downtown,no,apartment,131200
1331.0,3,2.0,5,yes,suburban,yes,apartment,250900
1879.0,5,4.0,10,yes,suburban,no,apartment,303100
509.0,1,1.0,25,no,urban,no,apartment,111000
1660.0,3,3.0,32,no,urban,yes,house,293100
915.0,1,1.0,19,yes,suburban,yes,apartment,142800
500.0,1,1.0,22,yes,downtown,no,house,122100
838.0,1,1.0,13,yes,suburban,no,apartment,141100
872.0,1,1.0,35,yes,suburban,yes,apartment,116400
1916.0,4,3.0,36,no,suburban,yes,apartment,237700
1942.0,5,4.0,6,yes,suburban,yes,house,379200
2563.0,5,4.0,12,no,rural,no,apartment,389500
1241.0,3,2.0,7,yes,rural,yes,villa,279100
1283.0,3,2.0,13,no,rural,no,house,199400
1376.0,3,3.0,37,no,urban,yes,villa,259000
2231.0,5,3.0,24,yes,rural,no,villa,381200
1792.0,5,3.0,17,yes,urban,no,apartment,325100
1465.0,3,2.0,38,no,suburban,no,house,189500
1024.0,1,1.0,18,yes,rural,yes,house,117100
2441.0,5,3.0,29,yes,rural,yes,house,359700
635.0,1,1.0,13,yes,suburban,no,house,189400
1332.0,2,1.0,30,no,urban,no,house,136400
1368.0,2,2.0,40,yes,suburban,no,apartment,202700
